Cliente ,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
0,RIO,SAO,2,4,3000
1,RIO,PMW,2,4,3000
2,RIO,SAO,2,4,3000
3,RIO,REC,5,3,4500
4,SP,BH,3,5,3200
5,BSB,FLN,7,4,5000
6,SAO,MCZ,6,3,2800
7,RIO,SSA,4,4,3600
8,FLN,POA,3,4,2700
9,BH,RIO,2,5,3100
10,POA,BSB,8,3,5200
11,MCZ,SAO,5,4,3400
12,SSA,SP,6,5,4900
13,PMW,FLN,7,4,5300
14,REC,BH,3,4,3200
15,POA,RIO,3,3,5582
16,REC,RIO,7,5,2753
17,SAO,MCZ,8,4,2730
18,FLN,PMW,9,3,3666
19,BSB,BH,6,3,5758
20,REC,RIO,10,4,5085
21,FLN,SSA,10,5,4548
22,SSA,BH,8,5,2190
23,SAO,MCZ,6,3,4683
24,RIO,PMW,4,5,4125
25,BSB,POA,10,4,5090
26,PMW,MCZ,5,5,2585
27,PMW,BSB,7,4,3005
28,RIO,BSB,6,3,5579
29,PMW,FLN,2,4,4354
30,PMW,SAO,4,5,4146
31,FLN,BSB,5,5,4117
32,REC,POA,4,5,4517
33,FLN,MCZ,7,3,3775
34,REC,FLN,2,5,5948
35,FLN,REC,10,5,4475
36,FLN,RIO,6,3,3878
37,FLN,BH,2,4,4813
38,BH,BSB,4,5,3083
39,PMW,REC,3,5,4137
40,SAO,BSB,6,3,5785
41,SAO,BSB,9,4,5030
42,PMW,SAO,3,4,4332
43,REC,RIO,5,4,5418
44,MCZ,PMW,6,3,3272
45,RIO,SAO,9,3,4168
46,POA,SAO,2,5,3959
47,POA,SSA,10,5,3534
48,RIO,BH,5,4,5424
49,RIO,BSB,7,3,2832
50,BSB,POA,6,5,5663
51,SSA,REC,4,4,2443
52,SAO,POA,8,5,5441
53,PMW,BSB,2,4,5283
54,SAO,PMW,7,3,2302
55,BH,FLN,10,3,4686
56,BSB,MCZ,7,4,2628
57,PMW,RIO,6,5,2276
58,SSA,POA,6,5,2089
59,MCZ,POA,7,5,2332
60,SSA,MCZ,10,3,4851
61,REC,MCZ,6,4,4684
62,MCZ,SAO,3,4,3484
63,PMW,SSA,3,4,4294
64,SAO,FLN,7,3,2659
65,SSA,MCZ,8,5,2322
66,FLN,SAO,9,5,3380
67,PMW,FLN,4,5,3078
68,RIO,MCZ,9,3,2127
69,REC,PMW,8,4,3123
70,FLN,REC,5,5,5464
71,REC,FLN,10,4,4629
72,BH,RIO,6,5,2456
73,REC,BH,4,4,2607
74,BSB,SAO,5,5,2994
75,REC,MCZ,7,4,2534
76,FLN,RIO,3,3,4176
77,FLN,SAO,2,5,3576
78,SAO,RIO,10,3,3323
79,SAO,BH,3,4,2877
80,SAO,SSA,3,5,2387
81,POA,FLN,7,5,5537
82,SAO,SSA,3,3,5252
83,PMW,MCZ,7,5,2223
84,REC,FLN,2,5,2777
85,MCZ,RIO,3,3,5587
86,BH,BSB,2,4,3467
87,FLN,MCZ,8,5,2068
88,RIO,FLN,9,4,5588
89,REC,BH,6,4,4364
90,PMW,POA,10,5,4274
91,SAO,REC,2,5,4665
92,SAO,POA,7,5,4499
93,MCZ,RIO,10,3,2016
94,POA,MCZ,6,3,3329
95,SSA,PMW,3,4,2129
96,FLN,MCZ,6,4,4160
97,POA,BSB,3,4,3256
98,SSA,FLN,3,4,5571
99,FLN,BH,8,5,3513
100,BSB,SAO,7,5,5699
101,REC,FLN,9,5,2261
102,POA,MCZ,4,5,4848
103,RIO,BH,4,4,3035
104,REC,BH,5,5,4077
105,BH,POA,2,4,3815
106,RIO,FLN,9,5,3960
107,REC,SSA,2,4,2259
108,PMW,FLN,9,3,3767
109,POA,SAO,3,5,3320
110,SAO,REC,8,4,5959
111,SSA,FLN,3,4,5119
112,FLN,MCZ,3,3,2570
113,SAO,BH,2,4,5252
114,MCZ,SAO,8,5,4315
115,SAO,SSA,5,4,4367
116,BH,FLN,10,3,2553
117,RIO,SSA,6,4,5512
118,SAO,FLN,8,4,3694
119,REC,MCZ,8,5,4097
120,SAO,BSB,4,4,4804
121,REC,SSA,7,5,4860
122,BSB,SSA,10,4,5981
123,SSA,FLN,6,3,3743
124,SSA,BH,4,4,4295
